id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
73,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,86.00013520408153,96.00013520408153,84.0,86.00013520408153
64,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,86.28729446912736,86.28729446912736,83.06350780590714,86.28729446912736
74,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,87.00014385964901,96.87668706952556,85.0,87.00014385964901
68,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,87.00089444444443,92.00089444444443,79.0,87.00089444444443
62,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,87.2872990145819,87.2872990145819,84.87658706952564,87.2872990145819
75,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,88.00015166666655,97.93803986542432,86.0,88.00015166666655
63,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,88.28730356003645,88.28730356003645,85.9379398654244,88.28730356003645
57,SINK_M,SimpleCase,Actuator,M.B,2,1,12,1,ServiceA,0,89.287308105491,89.287308105491,79.2999477969349,89.287308105491
65,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,90.28731265094554,90.28731265094554,85.96933652362128,90.28731265094554
69,COMP_M,SimpleCase,ServiceA,M.A,0,2,0,12,Sensor,2.2988505747126435,92.00110555555555,94.2999561302682,80.0,92.00110555555555
76,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,92.00138333333334,97.06467447257384,87.0,92.00138333333334
66,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,92.06384568469502,92.06384568469502,88.03200706719628,92.06384568469502
81,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,93.00019166666651,101.98895571161033,92.0,93.00019166666651
71,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,93.06385023014957,93.06385023014957,91.98887237827707,93.06385023014957
70,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,94.06385477560411,94.06385477560411,91.93865700984296,94.06385477560411
82,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,95.00020952380936,103.93875700984287,93.0,95.00020952380936
77,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,95.0015590909091,99.97050319028799,88.0,95.0015590909091
58,SINK_M,SimpleCase,Actuator,M.B,4,1,14,1,ServiceA,0,95.06385932105866,95.06385932105866,84.2868775898079,95.06385932105866
